Objetivos
codigo;nome;categoria;descricao;valor;valor atual;data criacao;data final
24;Objetivo;bjetivoCategoria;objetivoDescricao;1000,00;100,00;2024-10-16;2024-10-16
25;Objetivo;bjetivoCategoria;objetivoDescricao;1000,00;100,00;2024-10-16;2024-10-16
26;Objetivo;jetivoCategoria;objetivoDescricao;1000,00;100,00;2024-10-16;2024-10-16
27;Objetivo;bjetivoCategoria;objetivoDescricao;1000,00;100,00;2024-10-16;2024-10-16
28;Objetivo;jetivoCategoria;objetivoDescricao;1000,00;100,00;2024-10-16;2024-10-16
29;Objetivo;bjetivoCategoria;objetivoDescricao;1000,00;100,00;2024-10-16;2024-10-16
30;Objetivo;jetivoCategoria;objetivoDescricao;1000,00;100,00;2024-10-16;2024-10-16
31;Objetivo;objetivoCategoria;objetivoDescricao;1000,00;100,00;2024-10-16;2024-10-16
23;Objetivo;objetivoCategoria;objetivoDescricao;1000,00;1200,00;2024-10-16;2024-10-16
Receitas
codigo;nome;categoria;descricao;valor;recorrente;frequencia;data criacao
46;receita;receitaCategoria;receita;1000,00;true;30;2022-11-20
59;string;string;string;100000000,00;true;31;2022-11-27
60;string;teste;teste;200,00;true;31;2022-11-27
61;string;teste;teste;200,00;true;31;2022-11-27
62;string;teste;teste;200,00;true;31;2022-11-27
63;string;teste;teste;200,00;true;31;2022-11-27
64;string;teste;teste;200,00;true;31;2022-11-27
65;string;teste;teste;200,00;true;31;2022-11-27
66;string;teste;teste;200,00;true;31;2022-11-27
67;string;teste;teste;200,00;true;31;2022-11-27
68;string;teste;teste;200,00;true;31;2022-11-27
69;string;teste;teste;200,00;true;31;2022-11-27
70;string;teste;teste;200,00;true;31;2022-11-27
71;string;comida;string;100000000,00;true;31;2022-11-27
72;string;contas;string;100000000,00;true;31;2022-11-27
73;string;transporte;string;100000000,00;true;31;2022-11-27
74;string;compras;string;100000000,00;true;31;2022-11-27
75;string;contas;conta de água;200,00;true;31;2022-11-27
45;receita;receitaCategoria;receita;1000,00;true;30;2022-12-20
38;receita;receitaCategoria;receita;1000,00;true;30;2024-10-20
39;receita;receitaCategoria;receita;1000,00;true;30;2024-10-20
40;receita;receitaCategoria;receita;1000,00;true;30;2024-10-20
41;receita;receitaCategoria;receita;1000,00;true;30;2024-10-20
42;receita;receitaCategoria;receita;1000,00;true;30;2024-10-20
43;receita;receitaCategoria;receita;1000,00;true;30;2024-10-20
44;receita;receitaCategoria;receita;1000,00;true;30;2024-10-20
Despesas
Codigo;nome;Categoria;Descricao;Valor;Esta Pago?;Quantidade de parcelas;Data
5;string;string;string;1000,00;true;480;2022-11-21
6;string;string;string;1000,00;true;4;2022-11-21
7;string;string;string;1000,00;true;480;2022-11-21
9;string;string;string;100000,00;true;480;2022-11-24
8;string;string;string;100000000,00;true;480;2022-11-25
20;string;string;string;100000000,00;true;480;2022-11-27
21;string;string;string;100000000,00;true;480;2022-11-27
22;string;string;string;100000000,00;true;480;2022-11-27
23;string;string;string;100000000,00;true;480;2022-11-27
24;string;string;string;100000000,00;true;480;2022-11-27
25;string;string;string;100000000,00;true;480;2022-11-27
26;string;string;string;100000000,00;true;480;2022-11-27
27;string;string;string;100000000,00;true;480;2022-11-27
28;string;string;string;100000000,00;true;480;2022-11-27
29;string;string;string;100000000,00;true;480;2022-11-27
30;string;string;string;100000000,00;true;480;2022-11-27
31;string;string;string;100000000,00;true;480;2022-11-27
32;string;string;string;100000000,00;true;480;2022-11-27
33;string;string;string;100000000,00;true;480;2022-11-27
34;string;string;string;100000000,00;true;480;2022-11-27
35;string;string;string;100000000,00;true;480;2022-11-27
36;string;string;string;100000000,00;true;480;2022-11-27
37;string;string;string;100000000,00;true;480;2022-11-27
38;string;teste;teste;200,00;true;480;2022-11-27
39;string;teste;teste;200,00;true;480;2022-11-27
40;string;teste;teste;200,00;true;480;2022-11-27
41;string;teste;teste;200,00;true;480;2022-11-27
42;string;teste;teste;200,00;true;480;2022-11-27
43;string;teste;teste;200,00;true;480;2022-11-27
44;string;teste;teste;200,00;true;480;2022-11-27
45;string;teste;teste;200,00;true;480;2022-11-27
46;string;teste;teste;200,00;true;480;2022-11-27
47;string;contas;conta de água;200,00;true;480;2022-11-27
10;string;string;string;100000,00;true;480;2024-11-24
